Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
BZ1,1,Buzzer,,,,Buzzer_Beeper:Buzzer_15x7.5RM7.6,~
"C2,C6",2,100nF,,,,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,~
"C3,C4",2,22pF,,,,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,~
"C7,C8",2,1u,,,,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,
"D1,D2",2,LED,,,,LED_THT:LED_D3.0mm,~
FB1,1,FerriteBead,,,,Ferrite_THT:LairdTech_28C0236-0JW-10,~
J1,1,Conn_02x03_Odd_Even,,,,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,~
"J2,J6",2,Conn_01x08,,,,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,~
J3,1,Conn_01x08_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,~
J4,1,Conn_01x06,,,,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,~
J5,1,Barrel_Jack,,,,Connector_BarrelJack:BarrelJack_Horizontal,~
Q1,1,2N7000,,,,Package_TO_SOT_THT:TO-92_Inline,https://www.vishay.com/docs/70226/70226.pdf
R1,1,10k,,,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
"R2,R3",2,1k,,,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R4,1,R,,,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
"SW1,SW2",2,SW_Push,,,,Button_Switch_THT:SW_PUSH_6mm,~
U1,1,ATmega328-P,,,,Package_DIP:DIP-28_W7.62mm,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf
U2,1,ULN2803A,,,,Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm,http://www.ti.com/lit/ds/symlink/uln2803a.pdf
U3,1,L7805,,,,Package_TO_SOT_THT:TO-220-3_Vertical,http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf
Y1,1,16MHz,,,,Crystal:Crystal_HC49-4H_Vertical,~
